Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Adam  Roy,,Adam Roy,"""University of California, San Diego""",80.0,Medium confidence
Adam Fouda,Chicago,Adam Fouda,The University of Chicago,88.75,Medium confidence
Aditya Nandy,Chicago,Aditya Nandy,The University of Chicago,88.75,Medium confidence
Aidan Crilly,Imperial,Aidan Crilly,Imperial College London,90.32,High confidence
Akshay Ajagekar,Cornell,Akshay Ajagekar,,80.0,Medium confidence
Alberto Racca,Imperial,Alberto Racca,Imperial College London,90.32,High confidence
Alexander Gillert,UCSD,Alexander Gillert,"""University of California, San Diego""",82.93,Medium confidence
Alexander Wikner,Chicago,Alexander Wikner,The University of Chicago,88.75,Medium confidence
Alexandros Polyzois,Cornell,Alexandros Polyzois,Cornell University,91.2,High confidence
Alice Malivert,Imperial,Alice Malivert,Imperial College London,90.32,High confidence
Alokendra Kumar Ghosh,NUS,Alokendra Ghosh,National University of Singapore (NUS),82.93,Medium confidence
Alycia Leonard,,Alycia Leonard,University of Oxford,80.0,Medium confidence
Alyssa Schubert,Michigan,Alyssa Schubert,University of Michigan,90.67,High confidence
Ameya Pore,,Ameya Pore,University of Toronto,80.0,Medium confidence
Ami Doshi,,Ami Doshi,"""University of California, San Diego""",80.0,Medium confidence
Amy Hinsley,Oxford,Amy Hinsley,University of Oxford,89.23,Medium confidence
Anastasia Visheratina,Michigan,Anastasia Visheratina,University of Michigan,90.67,High confidence
Andreas Joergensen,Imperial,Andreas Joergensen,Imperial College London,90.32,High confidence
Andreas Rauch,Michigan,Andreas Rauch,University of Michigan,90.67,High confidence
Anthony Badea,Chicago,Anthony Badea,The University of Chicago,88.75,Medium confidence
Anthony Pembere,Michigan,Anthony Pembere,University of Michigan,90.67,High confidence
Ashley Dale,Toronto,Ashley Dale,University of Toronto,90.0,High confidence
Augustin Marignier,,Augustin Marignier,University of Oxford,80.0,Medium confidence
Aurora Basinski-Ferris,UCSD,Aurora Basinski-Ferris,"""University of California, San Diego""",82.93,Medium confidence
Austin Mroz,Imperial,Austin Mroz,Imperial College London,90.32,High confidence
Avik Biswas,UCSD,Avik Biswas,"""University of California, San Diego""",82.93,Medium confidence
Ben Moseley,Imperial,Ben Moseley,Imperial College London,90.32,High confidence
Benedikt Maier,Imperial,Benedikt Maier,Imperial College London,90.32,High confidence
Benjamin Decardi-Nelson,Cornell,Benjamin Decardi-Nelson,Cornell University,91.2,High confidence
Benjamin Lebeau,NTU,Benjamin Lebeau,Nanyang Technological University (NTU),82.93,Medium confidence
Benjamin Moss,Imperial,Benjamin Moss,Imperial College London,90.32,High confidence
Beverly French,UCSD,Beverly French,"""University of California, San Diego""",82.93,Medium confidence
Biprateep Dey,Toronto,Biprateep Dey,University of Toronto,90.0,High confidence
Brian Moser,Oxford,Brian Moser,University of Oxford,89.23,Medium confidence
Brittany Aguilar,,Brittany Aguilar,Schmidt Sciences,80.0,Medium confidence
Bryony Freer,UCSD,Bryony Freer,"""University of California, San Diego""",82.93,Medium confidence
Bu Zhao,Cornell,Bu Zhao,Cornell University,91.2,High confidence
Caitlin Aamodt,UCSD,Caitlin Aamodt,"""University of California, San Diego""",82.93,Medium confidence
Caitlin Newport,,Caitlin Newport,University of Oxford,80.0,Medium confidence
Calum Gabbutt,Imperial,Calum Gabbutt,Imperial College London,90.32,High confidence
Carla Calvo-Tusell,UCSD,Carla Calvo-Tusell,"""University of California, San Diego""",82.93,Medium confidence
Carla Nathaly Villacís Núñez,Michigan,Carla Nunez,University of Michigan,90.67,High confidence
Carlos Outeiral Rubiera,Oxford,Carlos Rubiera,University of Oxford,89.23,Medium confidence
Chang Xu,,Chang Xu,National University of Singapore (NUS),80.0,Medium confidence
Chengran Yang,NTU,Chengran Yang,Nanyang Technological University (NTU),82.93,Medium confidence
Chia-Hao Lee,Cornell,Chia-Hao Lee,Cornell University,91.2,High confidence
Chinthak Murali,Cornell,Chinthak Murali,Cornell University,91.2,High confidence
Christian Harding,UCSD,Christian Harding,"""University of California, San Diego""",82.93,Medium confidence
Christin Salley,Michigan,Christin Salley,University of Michigan,90.67,High confidence
Chun-Hao To,Chicago,Chun-Hao To,The University of Chicago,88.75,Medium confidence
Cindy Liu,Michigan,Cindy Liu,,80.0,Medium confidence
