Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Aidan Crilly,Imperial,Aidan Crilly,Imperial College London,90.32,High confidence
Alberto Racca,Imperial,Alberto Racca,Imperial College London,90.32,High confidence
Alexandros Polyzois,Cornell,Alexandros Polyzois,Cornell University,91.2,High confidence
Alice Malivert,Imperial,Alice Malivert,Imperial College London,90.32,High confidence
Alyssa Schubert,Michigan,Alyssa Schubert,University of Michigan,90.67,High confidence
Anastasia Visheratina,Michigan,Anastasia Visheratina,University of Michigan,90.67,High confidence
Andreas Joergensen,Imperial,Andreas Joergensen,Imperial College London,90.32,High confidence
Andreas Rauch,Michigan,Andreas Rauch,University of Michigan,90.67,High confidence
Anthony Pembere,Michigan,Anthony Pembere,University of Michigan,90.67,High confidence
Ashley Dale,Toronto,Ashley Dale,University of Toronto,90.0,High confidence
Austin Mroz,Imperial,Austin Mroz,Imperial College London,90.32,High confidence
Ben Moseley,Imperial,Ben Moseley,Imperial College London,90.32,High confidence
Benedikt Maier,Imperial,Benedikt Maier,Imperial College London,90.32,High confidence
Benjamin Decardi-Nelson,Cornell,Benjamin Decardi-Nelson,Cornell University,91.2,High confidence
Benjamin Moss,Imperial,Benjamin Moss,Imperial College London,90.32,High confidence
Biprateep Dey,Toronto,Biprateep Dey,University of Toronto,90.0,High confidence
Bu Zhao,Cornell,Bu Zhao,Cornell University,91.2,High confidence
Calum Gabbutt,Imperial,Calum Gabbutt,Imperial College London,90.32,High confidence
Carla Nathaly Villacís Núñez,Michigan,Carla Nunez,University of Michigan,90.67,High confidence
Chia-Hao Lee,Cornell,Chia-Hao Lee,Cornell University,91.2,High confidence
Chinthak Murali,Cornell,Chinthak Murali,Cornell University,91.2,High confidence
Christin Salley,Michigan,Christin Salley,University of Michigan,90.67,High confidence
Claire Heaney,Imperial,Claire Heaney,Imperial College London,90.32,High confidence
Daniel Platt,Imperial,Daniel Platt,Imperial College London,90.32,High confidence
Danyal Akarca,Imperial,Danyal Akarca,Imperial College London,90.32,High confidence
