Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Adam  Roy,,Adam Roy,"""University of California, San Diego""",80.0,Medium confidence
Adam Fouda,Chicago,Adam Fouda,The University of Chicago,88.75,Medium confidence
Aditya Nandy,Chicago,Aditya Nandy,The University of Chicago,88.75,Medium confidence
Akshay Ajagekar,Cornell,Akshay Ajagekar,,80.0,Medium confidence
Alexander Gillert,UCSD,Alexander Gillert,"""University of California, San Diego""",82.93,Medium confidence
Alexander Wikner,Chicago,Alexander Wikner,The University of Chicago,88.75,Medium confidence
Alokendra Kumar Ghosh,NUS,Alokendra Ghosh,National University of Singapore (NUS),82.93,Medium confidence
Alycia Leonard,,Alycia Leonard,University of Oxford,80.0,Medium confidence
Ameya Pore,,Ameya Pore,University of Toronto,80.0,Medium confidence
Ami Doshi,,Ami Doshi,"""University of California, San Diego""",80.0,Medium confidence
Amy Hinsley,Oxford,Amy Hinsley,University of Oxford,89.23,Medium confidence
Anthony Badea,Chicago,Anthony Badea,The University of Chicago,88.75,Medium confidence
Augustin Marignier,,Augustin Marignier,University of Oxford,80.0,Medium confidence
Aurora Basinski-Ferris,UCSD,Aurora Basinski-Ferris,"""University of California, San Diego""",82.93,Medium confidence
Avik Biswas,UCSD,Avik Biswas,"""University of California, San Diego""",82.93,Medium confidence
Benjamin Lebeau,NTU,Benjamin Lebeau,Nanyang Technological University (NTU),82.93,Medium confidence
Beverly French,UCSD,Beverly French,"""University of California, San Diego""",82.93,Medium confidence
Brian Moser,Oxford,Brian Moser,University of Oxford,89.23,Medium confidence
Brittany Aguilar,,Brittany Aguilar,Schmidt Sciences,80.0,Medium confidence
Bryony Freer,UCSD,Bryony Freer,"""University of California, San Diego""",82.93,Medium confidence
Caitlin Aamodt,UCSD,Caitlin Aamodt,"""University of California, San Diego""",82.93,Medium confidence
Caitlin Newport,,Caitlin Newport,University of Oxford,80.0,Medium confidence
Carla Calvo-Tusell,UCSD,Carla Calvo-Tusell,"""University of California, San Diego""",82.93,Medium confidence
Carlos Outeiral Rubiera,Oxford,Carlos Rubiera,University of Oxford,89.23,Medium confidence
Chang Xu,,Chang Xu,National University of Singapore (NUS),80.0,Medium confidence
Chengran Yang,NTU,Chengran Yang,Nanyang Technological University (NTU),82.93,Medium confidence
Christian Harding,UCSD,Christian Harding,"""University of California, San Diego""",82.93,Medium confidence
Chun-Hao To,Chicago,Chun-Hao To,The University of Chicago,88.75,Medium confidence
Cindy Liu,Michigan,Cindy Liu,,80.0,Medium confidence
Colm Talbot,Chicago,Colm Talbot,The University of Chicago,88.75,Medium confidence
Daniel Dehtyriov,Oxford,Daniel Dehtyriov,University of Oxford,89.23,Medium confidence
Daniel Gilman,Toronto,Daniel Gilman,,80.0,Medium confidence
Daniel Schofield,,Daniel Schofield,University of Oxford,80.0,Medium confidence
Dat Nguyen Vo,NTU,Dat Vo,Nanyang Technological University (NTU),82.93,Medium confidence
Deaglan Bartlett,,Deaglan Bartlett,University of Oxford,80.0,Medium confidence
Dmytro Kosaichevskyi,NUS,Dmytro Kosaichevskyi,National University of Singapore (NUS),82.93,Medium confidence
Elena Villhauer,Chicago,Elena Villhauer,The University of Chicago,88.75,Medium confidence
Eleonora (Nora) Rachtman,UCSD,Eleonora Rachtman,"""University of California, San Diego""",82.93,Medium confidence
Elnaz Azizi,Oxford,Elnaz Azizi,University of Oxford,89.23,Medium confidence
Filip Anies,NUS,Filip Anies,National University of Singapore (NUS),82.93,Medium confidence
Florian Rossmannek,NTU,Florian Rossmannek,Nanyang Technological University (NTU),82.93,Medium confidence
Fuying Dao,NTU,Fuying Dao,Nanyang Technological University (NTU),82.93,Medium confidence
Georgios Valogiannis,Chicago,Georgios Valogiannis,The University of Chicago,88.75,Medium confidence
Guangyu Wu,NTU,Guangyu Wu,Nanyang Technological University (NTU),82.93,Medium confidence
Hailan Ma,NTU,Hailan Ma,Nanyang Technological University (NTU),82.93,Medium confidence
Hattie Stewart,,Hattie Stewart,University of Oxford,80.0,Medium confidence
Heloise Stevance,Oxford,Heloise Stevance,University of Oxford,89.23,Medium confidence
Henry Lloyd-Laney,Oxford,Henry Lloyd-Laney,University of Oxford,89.23,Medium confidence
Holly Pacey,Oxford,Holly Pacey,University of Oxford,89.23,Medium confidence
